"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.143072392E2,6.494707028E1,2.554683736E1,2.805221293E1,1.225758406E0,2.863290475E2,4.706394181E0,3.416780773E0
2.153072388E2,6.494707802E1,2.554679793E1,2.770081115E1,1.537842949E0,2.871925414E2,4.708034387E0,3.414520354E0
2.163072379E2,6.494707728E1,2.554677236E1,2.772294404E1,1.117945208E0,2.859334135E2,4.710830044E0,3.410662300E0
2.173072382E2,6.494708349E1,2.554673558E1,2.856002293E1,1.517092931E0,2.862259458E2,4.710977547E0,3.410458559E0
2.183072373E2,6.494708533E1,2.554671202E1,2.822538111E1,1.056784025E0,2.822180230E2,4.709509390E0,3.412485654E0
2.193072376E2,6.494709285E1,2.554668267E1,2.852404787E1,1.288671523E0,2.876991351E2,4.708582930E0,3.413763879E0
2.203072378E2,6.494709811E1,2.554664766E1,2.868588197E1,1.416412319E0,2.891106272E2,4.704053022E0,3.420003245E0
2.213072367E2,6.494710032E1,2.554661249E1,2.845167040E1,1.385679203E0,2.889899641E2,4.703217929E0,3.421151582E0
2.223072367E2,6.494709843E1,2.554659187E1,2.851064881E1,1.123822322E0,2.821468830E2,4.702618624E0,3.421975323E0
2.233072371E2,6.494710007E1,2.554654983E1,2.851017317E1,1.482859193E0,2.825801397E2,4.702994296E0,3.421459000E0
2.243072366E2,6.494709981E1,2.554652478E1,2.890159145E1,1.171389548E0,2.792442614E2,4.704154599E0,3.419863527E0
2.253072364E2,6.494709978E1,2.554648845E1,2.899675810E1,1.218047798E0,2.829122456E2,4.693700771E0,3.434197156E0
