"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.627739166E-1,-1.772112724E0,-8.073285735E-1,5.989256215E-1
7.727059167E-1,-1.852791436E0,-7.555678511E-1,1.621222401E-1
7.826369166E-1,-1.699133772E0,-8.914705914E-1,-3.924534202E-1
7.925689167E-1,-1.586111917E0,-1.093157431E0,-8.910168475E-1
8.025009166E-1,-1.110974409E0,-1.362027610E0,-1.237059748E0
8.124319167E-1,-6.187150113E-1,-1.667624150E0,-1.646280059E0
8.223639167E-1,-4.261551632E-1,-1.768288060E0,-1.951464955E0
8.322959167E-1,-5.446169749E-2,-1.502215775E0,-1.938340294E0
8.422269167E-1,1.913800992E-2,-9.558800107E-1,-2.496320204E0
8.521589166E-1,-1.763935393E-1,-6.698581946E-1,-3.210606712E0
8.620909167E-1,-5.466462511E-1,-3.918637285E-1,-3.333939693E0
8.720219166E-1,-7.777483866E-1,5.077429712E-2,-3.119711745E0
8.819539167E-1,-5.085685980E-1,4.464281908E-1,-2.842634999E0
8.918859166E-1,-1.348780889E-1,9.912802237E-1,-2.938367953E0
9.018169167E-1,7.904929778E-1,-3.682658279E-1,-3.255690499E0
9.117489167E-1,1.419782605E0,-8.290351921E-1,-3.330972816E0
9.216809167E-1,1.055375209E0,-2.823035717E-2,-2.960161110E0
9.316119167E-1,2.054539818E-1,9.844343036E-1,-2.848123196E0
9.415439166E-1,-4.337805537E-1,9.553859210E-1,-2.432656889E0
9.514759167E-1,-1.309447985E0,1.054557622E0,-1.448082837E0
9.614102500E-1,-1.754788886E0,1.335767764E0,-3.796515262E-1
9.713422500E-1,-9.494701467E-1,1.187809820E0,1.639266908E-1
9.812742500E-1,9.970390733E-2,6.562762821E-1,-2.257457936E-1
9.912052500E-1,1.135070639E0,-7.148384857E-1,-5.216061348E-1
1.001137250E0,1.390397716E0,-3.126389265E-2,3.653223395E-1
1.011069250E0,7.772589746E-1,1.454849820E0,1.037749801E0
1.021000250E0,6.428810419E-1,1.624252428E0,1.737585500E0
1.030932250E0,3.835242102E-1,1.416937643E0,2.655372655E0
1.040864250E0,-2.679757006E-1,1.279355582E0,3.502951123E0
1.050795250E0,-7.320508613E-1,1.057363116E0,4.049711394E0
1.060727250E0,-2.119278728E-1,4.692630297E-1,3.638800068E0
1.070659250E0,5.537438207E-1,-1.435374498E-1,2.635122578E0
1.080590250E0,5.758389869E-1,-1.563077688E-2,1.406751208E0
1.090522250E0,1.047818852E-1,1.207420796E0,9.059781182E-1
1.100454250E0,-7.182500437E-2,1.897622039E0,1.485245401E0
1.110385250E0,4.322729588E-2,1.419823244E0,2.280880128E0
1.120317250E0,1.643287600E-1,6.548203254E-1,2.877982002E0
1.130249250E0,5.223063388E-1,1.598576134E-1,3.298183969E0
1.140180250E0,8.637425101E-1,-4.006921470E-2,3.366675915E0
1.150112250E0,9.365448765E-1,-1.429480505E-1,2.803793115E0
1.160044250E0,1.570689009E0,-7.750735778E-1,2.006362708E0
1.169975250E0,2.193210338E0,-1.585842653E0,1.027546409E0
1.179907250E0,2.377535187E0,-2.061026866E0,2.543129504E-1
1.189839250E0,2.275803575E0,-2.002807016E0,-8.941854537E-2
1.199770250E0,1.805820168E0,-1.704059905E0,-1.853918195E-1
1.209702250E0,1.202816845E0,-1.713894922E0,-6.094014931E-1
1.219634250E0,2.347446585E-1,-1.793809110E0,-1.278990716E0
1.229565250E0,-6.307444880E-1,-1.245047629E0,-1.709100789E0
1.239497250E0,-5.568122933E-1,-1.071093840E0,-2.168137624E0
1.249429250E0,4.116151113E-2,-1.290832789E0,-2.598373412E0
1.259360250E0,2.063113664E-1,-1.543338073E0,-2.958711001E0
1.269292250E0,4.893622853E-1,-1.626542197E0,-2.800231576E0
1.279224250E0,5.734437481E-1,-1.308790466E0,-2.203354234E0
1.289155250E0,2.009225907E-1,-6.810728619E-1,-1.900368476E0
1.299087250E0,-3.949882247E-1,-4.116179618E-1,-2.280693017E0
1.309019250E0,-1.084595061E0,-4.020364219E-1,-2.469882018E0
1.318950250E0,-2.067294057E0,-4.649530470E-2,-2.454120263E0
1.328882250E0,-2.472399537E0,3.859659344E-1,-2.063356689E0
1.338814250E0,-1.761909625E0,4.266549540E-1,-1.595630892E0
1.348745250E0,-7.661163012E-1,5.483843359E-1,-1.477193200E0
1.358677250E0,-8.060032289E-2,9.908016291E-1,-2.301399177E0
1.368609250E0,6.271917198E-1,7.019643787E-1,-3.037349619E0
1.378540250E0,5.824802544E-1,6.785904264E-1,-3.210638287E0
1.388472250E0,-1.212982960E-1,1.126746177E0,-3.174352221E0
1.398404250E0,-3.722181071E-1,1.411875708E0,-2.512361455E0
1.408335250E0,-5.476122842E-1,1.350215650E0,-9.995920408E-1
1.418267250E0,-1.271886933E0,1.554095488E0,1.244255916E0
1.428199250E0,-1.549618713E0,1.836766849E0,2.619347375E0
1.438130250E0,-9.575242478E-1,1.498013088E0,2.718315593E0
1.448062250E0,-1.375712433E-1,2.230604598E-1,1.948657122E0
1.457994250E0,4.736260758E-1,-5.950097412E-1,1.457523167E0
1.467925250E0,6.287167467E-1,-6.136550501E-1,9.025902414E-1
1.477857250E0,5.257531263E-1,-4.400430313E-1,6.994094378E-1
1.487789250E0,9.457843544E-1,2.866205710E-1,1.362708226E0
1.497720250E0,1.159790255E0,7.697233754E-1,2.201373782E0
1.507652250E0,7.426316173E-1,9.785739318E-1,3.263569037E0
1.517584250E0,2.433020586E-1,9.753187868E-1,3.314231653E0
1.527515250E0,3.071324573E-1,9.193083081E-1,3.005648355E0
1.537447250E0,5.255398491E-1,6.301956537E-1,2.764592212E0
1.547379250E0,4.994362704E-1,3.932579970E-1,2.674740973E0
1.557310250E0,2.430649540E-1,1.336813831E-1,2.426412063E0
1.567242250E0,1.203451999E-1,-1.653171587E-1,1.931108458E0
1.577174250E0,4.945213933E-1,-1.678267837E-1,1.285515039E0
1.587105250E0,9.072747383E-1,-2.450071067E-2,5.874001747E-1
1.597037250E0,1.052277793E0,2.615751922E-2,1.935106784E-1
1.606969250E0,2.298672035E-1,-6.543794453E-2,4.115252835E-1
1.616900250E0,-9.435004319E-1,1.497021693E-1,1.948368854E0
1.626832250E0,-1.606945400E0,3.367066509E-1,3.617596310E0
1.636764250E0,-1.513050227E0,-2.000835335E-1,3.935574914E0
1.646695250E0,-1.130177762E0,-1.222367741E0,3.410595521E0
1.656627250E0,-8.550266504E-1,-1.918141965E0,2.850897115E0
1.666559250E0,-4.222843064E-1,-1.913948634E0,2.355989367E0
1.676490250E0,-3.361062880E-1,-1.392654156E0,1.275189441E0
1.686422250E0,-5.424476579E-1,-7.688600340E-1,7.214236200E-2
1.696354250E0,-5.524294397E-1,-4.055140534E-1,-7.973731041E-1
1.706285250E0,-3.806882375E-1,-4.868497002E-1,-1.482551004E0
1.716217250E0,-7.651509990E-1,-8.895079735E-1,-1.404712284E0
1.726149250E0,-1.602122909E0,-1.245375365E0,-6.172806162E-1
1.736080250E0,-1.354342030E0,-1.213938103E0,-7.435611784E-2
1.746012250E0,-6.765857086E-1,-1.275727385E0,-5.975404161E-1
1.755944250E0,1.939462960E-2,-1.355801202E0,-2.226808001E0
1.765875250E0,4.479508057E-1,-7.797779551E-1,-3.739266343E0
1.775807250E0,6.782523112E-1,7.788783610E-3,-4.142414905E0
1.785739250E0,1.014318838E0,4.196757174E-1,-4.190697704E0
1.795670250E0,1.327860282E0,3.715174645E-1,-4.616301329E0
1.805602250E0,1.352050360E0,4.904878378E-2,-4.789175429E0
1.815534250E0,7.081447394E-1,-4.558664739E-2,-3.948742844E0
1.825465250E0,-9.448793516E-2,2.453982854E-1,-2.793694389E0
1.835397250E0,-3.501897454E-1,4.817585295E-1,-1.755656905E0
1.845329250E0,-1.783193198E-1,4.212983197E-1,-1.181265031E0
1.855260250E0,2.007873921E-1,3.026086128E-1,-1.422142249E0
1.865192250E0,8.554839027E-1,3.402120566E-1,-2.037917207E0
1.875123250E0,1.422234635E0,3.513971955E-1,-2.242401940E0
1.885055250E0,1.766255276E0,1.360383958E-1,-2.101586954E0
1.894987250E0,1.743164621E0,-1.249456429E-1,-1.501515863E0
1.904918250E0,1.401138466E0,1.246035808E-1,-1.383252418E-1
1.914850250E0,6.442098948E-1,6.977827424E-1,1.982755744E0
1.924782250E0,6.480227910E-1,1.186194819E0,3.772103721E0
1.934713250E0,9.526459888E-1,9.480453265E-1,3.981642203E0
1.944645250E0,1.092077231E0,7.478501111E-1,3.229588528E0
1.954577250E0,1.010257362E0,9.015260482E-1,2.268766451E0
1.964505500E0,1.065216511E0,6.613019639E-1,4.378775150E-1
1.974437500E0,1.183808789E0,5.082598650E-1,-6.008440930E-1
1.984369500E0,1.313587229E0,9.935793489E-1,-4.634637612E-1
1.994300500E0,1.058890921E0,1.529118814E0,-7.509403646E-2
2.004232500E0,7.832831416E-1,1.727245869E0,1.157049372E0
2.014164500E0,8.165757988E-1,1.350228513E0,2.541816804E0
2.024095500E0,1.012181462E0,4.647764611E-1,2.298839850E0
2.034027500E0,1.095233412E0,-4.604518604E-1,1.730743089E0
2.043959500E0,1.112889299E0,-1.002396365E0,1.760964423E0
2.053890500E0,1.095007052E0,-1.493663052E0,1.679973469E0
2.063822500E0,8.462021057E-1,-1.773994943E0,1.537106695E0
2.073754500E0,6.862520331E-1,-1.610006272E0,1.696545648E0
2.083685500E0,4.815537308E-1,-1.355424934E0,1.567787620E0
2.093617500E0,6.268259034E-2,-1.317182389E0,9.311451191E-1
2.103549500E0,-2.957146724E-1,-1.580000115E0,-5.182153344E-2
2.113480500E0,-1.315316543E-1,-1.312589986E0,-4.494696200E-2
2.123412500E0,1.782820438E-1,-8.960138780E-1,-1.890223557E-1
2.133344500E0,3.307769895E-1,-9.298663330E-1,-1.087880319E-1
2.143275500E0,3.214422020E-1,-8.648183978E-1,5.368381315E-1
2.153207500E0,4.961654842E-2,-6.321097398E-1,9.451994866E-1
2.163139500E0,-3.115930789E-1,-6.811567694E-1,6.078695226E-1
2.173070500E0,-4.760476271E-1,-9.812709600E-1,-2.192442745E-1
2.183002500E0,-6.167292968E-1,-1.218180842E0,-1.217154656E0
2.192934500E0,-6.432142601E-1,-1.251160893E0,-2.304138597E0
2.202865500E0,-5.188863024E-1,-1.020701659E0,-3.191402702E0
2.212797500E0,-2.712369852E-1,-7.004631060E-1,-4.023294843E0
2.222729500E0,1.148904786E-3,-4.387721390E-1,-4.363383524E0
2.232660500E0,3.750184118E-1,-1.901608086E-1,-3.970365263E0
2.242592500E0,7.415315368E-1,-1.223822236E-3,-2.501219001E0
